Word,"CONTROL_SOBOLEVSKY","KIREEVSKY","PESENNIKI","RUSCORPORA","RUSSKIE_PESNI","SOBOLEVSKY"
"вьюга",0,0.0016075232,0,0.0065832432,0.0289252463,0.0005731447
"дружочек",0.0041725778,0.0329542258,0.0342047398,0.0008563568,0.0289252463,0.0120360393
"заезжать",0.0292080447,0.0112526625,0.0195455656,0.0016591914,0.0072313116,0.0160480525
"знойный",0,0,0,0.0074931224,0.0072313116,0
"курган",0.0041725778,0.004018808,0,0.0061550648,0,0.0043941096
"пар",0,0.0008037616,0,0.0073860778,0,0.0009552412
"плач",0,0,0.0048863914,0.0074396001,0.0018078279,0.0005731447
"портрет",0,0.0008037616,0.0048863914,0.0073325555,0,0.0009552412
"рассвет",0.0083451556,0,0.0048863914,0.0067973324,0.0054234837,0.0021015307
"рождение",0,0.0008037616,0,0.0075466447,0.0018078279,0.0001910482
"свадьба",0.0083451556,0.0016075232,0.0048863914,0.0043353065,0.0072313116,0.0103166051
"северный",0,0,0.0097727828,0.0073325555,0.0036156558,0.0005731447
"славянин",0,0,0,0.0077072116,0,0
"сокровище",0,0,0,0.0074396001,0.0054234837,0.0003820965
"тонуть",0,0.0064300928,0,0.004602918,0,0.0095524122
"благословение",0,0,0.0048863914,0.0070114217,0,0.0021015307
"вакх",0,0,0,0.0076536893,0,0
"вельможа",0,0,0,0.0076536893,0,0
"держава",0,0,0,0.007600167,0,0.0001910482
"кроватушка",0.0125177335,0.0361692722,0.024431957,0,0.0018078279,0.0170032937
"лишенный",0,0,0.0048863914,0.007600167,0,0
"медведь",0.0041725778,0.0024112848,0.0146591742,0.005833931,0,0.0051583026
"некого",0.0250354669,0.0104489009,0.0195455656,0.0012845353,0.0090391395,0.0173853902
"обманчивый",0.0083451556,0.0008037616,0.0048863914,0.0066902878,0,0.0026746754
"перина",0,0.0160752321,0.0195455656,0.0008028345,0,0.0198690173
"сапог",0.0166903113,0.0112526625,0.024431957,0.0019268029,0,0.0160480525
"скитаться",0,0,0,0.0075466447,0.0036156558,0
"спина",0,0.008037616,0.0048863914,0.005298708,0,0.006304592
"тщетный",0,0,0,0.0076536893,0,0
"хранитель",0,0,0,0.007600167,0.0018078279,0
"эфир",0,0,0,0.0076536893,0,0
"богатырь",0,0.0008037616,0,0.0067973324,0,0.0026746754
"болото",0.0208628891,0.0208978017,0.0048863914,0.0028902043,0.0018078279,0.0105076534
"вдаль",0,0,0,0.0072790332,0.0090391395,0.0001910482
"ликовать",0,0,0,0.0075466447,0.0018078279,0
"ложный",0,0.0008037616,0,0.0074931224,0.0018078279,0
"малютка",0,0.0008037616,0,0.0074396001,0.0036156558,0
"нищий",0,0,0,0.0071719886,0.0036156558,0.0011462895
"осенять",0,0,0,0.007600167,0,0
"погружать",0,0,0.0097727828,0.0073860778,0.0036156558,0
"рядом",0,0.0008037616,0.0048863914,0.0067973324,0.0018078279,0.0022925789
"спеть",0.0041725778,0.0048225696,0,0.0046564403,0.0216939347,0.0068777368
"сторож",0,0.0217015633,0,0.0036930389,0.0018078279,0.008597171
"убор",0,0.0008037616,0.0097727828,0.0058874533,0.0072313116,0.0047762061
"ужасно",0,0,0,0.007600167,0,0
"утрата",0,0,0,0.0075466447,0.0018078279,0
