"KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI" "RP_1810" "RP_1820" "RP_1830" "RP_1840" "ruscorpora_1" "ruscorpora_2" "ruscorpora_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"сторона" 0.19 0.16 0.185 0.0830686537991693 0.150262960180316 0.050284948038887 0.0888967908258512 0.0507786052809749 0.02 0.04 0.06 0.1 0.105 0.12
"новый" 0.145 0.135 0.125 0.0635230881993648 0.0107330685843083 0.0586657727120349 0.0177793581651702 0.0423155044008125 0.065 0.08 0.09 0.17 0.175 0.15
"око" 0.04 0.055 0.035 0.073295870999267 0.0643984115058495 0.184378142809252 0.231131656147213 0.321597833446175 0.095 0.145 0.13 0.035 0.035 0.05
"река" 0.145 0.125 0.085 0.117273393598827 0.0321992057529248 0.134093194770365 0.0888967908258512 0.0507786052809749 0.045 0.065 0.07 0.175 0.11 0.115
"темный" 0.1 0.11 0.145 0.0635230881993648 0.0643984115058495 0.0670465973851827 0.160014223486532 0.177725118483412 0.04 0.045 0.07 0.095 0.12 0.11
"ка" 0.155 0.135 0.145 0.0439775225995602 0 0.0419041233657392 0.00888967908258512 0.0423155044008125 0 0.015 0.015 0.2 0.275 0.2
"чужой" 0.125 0.16 0.16 0.0830686537991693 0.160996028764624 0.0586657727120349 0.15556938394524 0.126946513202437 0.03 0.025 0.025 0.065 0.11 0.1
"спать" 0.135 0.155 0.115 0.141705350598583 0.0214661371686165 0.0586657727120349 0.0888967908258512 0.0592417061611374 0.05 0.05 0.06 0.095 0.125 0.13
"при" 0.1 0.11 0.11 0.161250916198387 0.0751314800901578 0.0670465973851827 0.0666725931193884 0.0592417061611374 0.09 0.075 0.065 0.11 0.095 0.13
"хороший" 0.175 0.18 0.14 0.131932567798681 0.0107330685843083 0.0251424740194435 0.0355587163303405 0.0677048070412999 0.04 0.045 0.06 0.1 0.14 0.12
"много" 0.065 0.09 0.065 0.0781822623992182 0.18246216593324 0.142474019443513 0.137790025780069 0.110020311442112 0.105 0.09 0.13 0.05 0.06 0.1
"пора" 0.05 0.095 0.11 0.0684094795993159 0.0751314800901578 0.142474019443513 0.124455507156192 0.126946513202437 0.13 0.145 0.1 0.055 0.05 0.08
"б" 0.09 0.035 0.095 0.0830686537991693 0.128796823011699 0.0670465973851827 0.111120988532314 0.228503723764387 0.085 0.12 0.14 0.065 0.065 0.07
"миленький" 0.19 0.23 0.21 0.0830686537991693 0.0536653429215413 0.0251424740194435 0.0311138767890479 0.00846310088016249 0 0.005 0 0.17 0.115 0.125
"небо" 0.005 0.015 0.005 0.00488639139995114 0.085864548674466 0.125712370097218 0.186683260734287 0.186188219363575 0.26 0.245 0.23 0 0.005 0.005
"над" 0.035 0.02 0.025 0.0439775225995602 0.085864548674466 0.142474019443513 0.19112810027558 0.10155721056195 0.14 0.185 0.17 0.065 0.04 0.07
"сын" 0.165 0.165 0.125 0.107500610798925 0.0214661371686165 0.00838082467314784 0.00444483954129256 0.016926201760325 0.12 0.055 0.065 0.115 0.125 0.115
"голова" 0.095 0.12 0.115 0.0684094795993159 0.042932274337233 0.050284948038887 0.0577829140368033 0.0507786052809749 0.075 0.075 0.07 0.15 0.145 0.12
"широкий" 0.15 0.165 0.14 0.0781822623992182 0.0321992057529248 0.0838082467314784 0.0800071117432661 0.0761679079214624 0.035 0.035 0.03 0.11 0.105 0.13
"петь" 0.08 0.1 0.125 0.0586366967994136 0.128796823011699 0.0838082467314784 0.200017779358165 0.0930941096817874 0.1 0.055 0.095 0.03 0.06 0.065
"старый" 0.13 0.105 0.135 0.156364524798436 0.0107330685843083 0 0.0622277535780958 0.0507786052809749 0.055 0.02 0.035 0.095 0.11 0.195
"видеть" 0.08 0.06 0.065 0.102614219398974 0.139529891596007 0.0838082467314784 0.102231309449729 0.0761679079214624 0.155 0.09 0.155 0.05 0.06 0.045
"лишь" 0.015 0.01 0.02 0.0781822623992182 0.18246216593324 0.175997318136105 0.146679704862654 0.160798916723087 0.165 0.15 0.17 0.025 0.01 0.04
"ясный" 0.07 0.065 0.05 0.0830686537991693 0.0965976172587743 0.184378142809252 0.20890745844075 0.262356127285037 0.06 0.055 0.035 0.07 0.045 0.055
"двор" 0.18 0.185 0.125 0.185682873198143 0.0321992057529248 0 0.0222241977064628 0 0.01 0.025 0.01 0.115 0.145 0.105
"ветер" 0.045 0.05 0.045 0.073295870999267 0.24686057743909 0.201139792155548 0.235576495688506 0.186188219363575 0.06 0.05 0.025 0.045 0.09 0.03
"глаз" 0.08 0.045 0.085 0.107500610798925 0.171729097348932 0.108950720750922 0.0800071117432661 0.118483412322275 0.105 0.085 0.105 0.055 0.08 0.065
"хоть" 0.065 0.1 0.08 0.0830686537991693 0.042932274337233 0.0921890714046262 0.0711174326606809 0.1354096140826 0.15 0.09 0.08 0.105 0.065 0.065
"год" 0.06 0.08 0.08 0.0390911311996091 0.0965976172587743 0.11733154542407 0.0444483954129256 0.016926201760325 0.09 0.115 0.125 0.105 0.085 0.16
"город" 0.16 0.13 0.125 0.0488639139995114 0.0321992057529248 0.0335232986925914 0.0311138767890479 0.03385240352065 0.06 0.025 0.03 0.14 0.145 0.15
"отец" 0.095 0.115 0.12 0.0586366967994136 0.0321992057529248 0.0586657727120349 0.120010667614899 0.0423155044008125 0.055 0.095 0.065 0.08 0.1 0.11
"высокий" 0.09 0.13 0.105 0.0879550451991205 0.0751314800901578 0.00838082467314784 0.0622277535780958 0.0423155044008125 0.025 0.095 0.075 0.1 0.13 0.11
