"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"десятый" 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01
"еси" 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0.03 0
"жалоба" 0 0 0 0.01 0.01 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0.01
"жалобнешенько" 0.02 0.02 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0
"зависть" 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0.01 0.02 0 0 0
"зажигать" 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0.01 0
"закладывать" 0.01 0 0.01 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0.01 0 0.01
"залетать" 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.01 0.01 0.02 0 0 0
"заливать" 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0
"замочилася" 0.01 0.03 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"заныть" 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0.01 0.01
"заочно" 0.01 0 0.01 0.01 0.01 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0
"застилать" 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0.02 0.02 0 0 0 0
"зато" 0 0 0 0 0 0 0 0 0 0.03 0.01 0.03 0 0 0 0 0 0
"заутреня" 0 0.03 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"захрапеть" 0.01 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"зелененький" 0.01 0 0.01 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"ивановна" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.02 0.01 0.03
"изголовьице" 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02
"изменник" 0 0 0 0 0 0 0 0.01 0 0 0 0 0.03 0.02 0.01 0 0 0
"иссыхать" 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0.02 0 0.02 0 0 0
"кажется" 0 0 0 0 0 0.02 0 0 0 0 0.02 0 0 0.01 0 0 0.01 0.01
"казачка" 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"каленый" 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.02 0.01
"калинов" 0.01 0.01 0.01 0 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0.01
"калиновый" 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.02
"касатый" 0 0 0 0 0.01 0 0.03 0.02 0.01 0 0 0 0 0 0 0 0 0
"кленовый" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0.01 0.01
"ключик" 0 0 0.01 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0.02 0 0
"кнут" 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0.01 0.01
"козак" 0 0 0 0.01 0 0.01 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"колечушко" 0 0 0 0 0.01 0.01 0.01 0 0.02 0 0 0 0 0 0 0.02 0 0
"колокол" 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0.01 0.01 0 0 0 0.01 0
"комар" 0 0 0 0.01 0.01 0.03 0 0 0 0 0.01 0 0 0 0 0.01 0 0
"корабличка" 0.01 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"коротенький" 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01
"корчма" 0 0 0 0.01 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0.01
"крестьянский" 0 0 0 0.02 0 0.01 0 0.01 0.01 0 0 0.01 0 0.01 0 0 0 0
"кружиться" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.02 0.02 0 0 0
"курица" 0.01 0.02 0.02 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"ларец" 0 0 0 0 0.01 0 0.01 0.02 0.02 0 0 0 0 0.01 0 0 0 0
"легонький" 0 0.01 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.01
"лень" 0 0 0 0 0 0 0 0 0 0.01 0.04 0.02 0 0 0 0 0 0
"леса" 0 0 0 0.02 0.01 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0.01 0
"лихо" 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.02 0 0.01
"лишенный" 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0.03 0 0 0 0 0 0
"лоза" 0.02 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0
"маиор" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.03 0.01
"малинка" 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0.02 0 0.01 0 0 0
"мамка" 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"медведь" 0 0 0.01 0 0.01 0 0.01 0 0.02 0.01 0 0.01 0 0 0 0 0 0
"мечтать" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0.01 0.01 0 0 0
"мешать" 0 0 0 0 0 0 0.02 0.02 0.02 0 0 0 0 0 0 0 0.01 0
"миновать" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0.02 0 0 0
"миткалинный" 0 0 0 0 0 0 0.03 0.02 0.02 0 0 0 0 0 0 0 0 0
"мода" 0.01 0.01 0 0 0 0 0 0.01 0 0.01 0.02 0.01 0 0 0 0 0 0
"молодешенький" 0 0 0 0.03 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"мочить" 0 0 0 0.02 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0.02
"мошна" 0.01 0.02 0.01 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0
"мудрый" 0 0.02 0.01 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0.01 0
"мучить" 0 0 0 0.01 0 0 0 0 0 0 0 0.03 0.02 0 0 0.01 0 0
"мчаться" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0.02 0.01 0.01 0 0 0
"набелиться" 0.01 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"нападать" 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0.01 0 0.01 0 0.01 0
"насмеяться" 0.01 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0
"наука" 0 0 0 0 0.01 0.02 0 0 0 0 0.03 0.01 0 0 0 0 0 0
"неделька" 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0.01
"непогода" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0.02 0 0 0 0
"непогодушка" 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.01 0.01 0 0 0.01
"нитка" 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0.02 0.01
"ножичек" 0 0 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0.03 0.01 0
"нянюшка" 0.01 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01
"обвенчаться" 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0.01 0
"обманчивый" 0 0 0.02 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0.01
"оглянуться" 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0
"огонечек" 0 0 0 0.01 0 0 0.02 0.01 0.03 0 0 0 0 0 0 0 0 0
"одеваться" 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0.02 0.01 0
"однажды" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0.02 0.01 0 0 0
"олень" 0 0 0 0.01 0 0 0 0 0 0.02 0.01 0.02 0 0 0.01 0 0 0
"опасный" 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0.01 0.01 0 0 0
"останавливаться" 0 0 0 0 0.01 0 0 0 0 0.01 0.03 0 0 0 0 0.02 0 0
"отвязываться" 0.01 0 0.01 0 0 0 0 0.02 0.03 0 0 0 0 0 0 0 0 0
"отецкая" 0 0 0 0 0 0 0.03 0.02 0.02 0 0 0 0 0 0 0 0 0
"отечество" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0.01 0.01 0 0 0 0.01
"отколь" 0.01 0.01 0.02 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"откуда" 0.01 0 0.01 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0
"ото" 0.01 0 0.01 0 0 0 0.01 0 0.01 0.03 0 0 0 0 0 0 0 0
"отправляться" 0 0 0 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0.02 0.01
"отчизна" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.03 0 0 0.01 0 0 0
"падать" 0 0 0 0 0 0 0 0 0 0.02 0.03 0 0.02 0 0 0 0 0
"петелька" 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02
"пила" 0 0 0.01 0 0.01 0.02 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"плод" 0 0 0 0 0 0 0 0 0 0.02 0.03 0.01 0 0 0.01 0 0 0
"повалить" 0 0 0 0 0 0 0.02 0.03 0.02 0 0 0 0 0 0 0 0 0
"повертываться" 0.02 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"погадать" 0.01 0.01 0 0 0.01 0 0 0.01 0.02 0 0 0.01 0 0 0 0 0 0
"погоня" 0 0.01 0 0.01 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"погружать" 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0 0 0.02 0 0 0
"подареньице" 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.02 0.03 0 0 0
"подворье" 0 0.01 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0 0
"поджидать" 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0
"подлец" 0.01 0.01 0 0 0 0.03 0 0 0 0 0 0.01 0 0 0 0 0.01 0
"поднебесный" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.02 0.01 0.01 0 0 0
"покоряться" 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0 0 0.01 0 0.01 0
"полка" 0 0.01 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0.02 0.01
"полоса" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01
"полоть" 0 0 0 0 0 0.01 0.01 0 0.02 0.01 0 0 0 0 0 0.01 0.01 0
"полюбиться" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.03 0.02 0 0 0
"полюбовница" 0 0 0 0 0.01 0.02 0.01 0.01 0.01 0 0 0 0.01 0 0 0 0 0
"понести" 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02
"попенять" 0 0.01 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0.01 0.01 0.01
"поперек" 0 0.01 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0
"портить" 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.01
"поскакать" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0.01 0 0.01 0 0
"постучаться" 0.01 0.01 0.01 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0.02
"потешать" 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0.02 0.02 0
"почесть" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0.02 0 0 0
"почитать" 0 0 0 0 0.01 0 0.02 0 0.01 0 0.01 0.01 0 0 0 0 0 0.01
"почувствовать" 0 0 0 0.01 0 0 0.02 0 0.01 0 0 0 0.01 0.01 0 0.01 0 0
"предвидеть" 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0
"прельщать" 0 0.01 0 0 0.01 0 0 0.01 0.02 0 0 0 0.01 0.01 0 0 0 0
"прельщаться" 0 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0.01 0 0 0
"приволье" 0.01 0.02 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0
"пригонять" 0.01 0.01 0.02 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0
"приданое" 0.01 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.02 0
"признавать" 0 0 0 0.01 0 0.01 0 0 0 0.02 0.01 0 0.01 0 0 0 0.01 0
"примечать" 0 0 0 0.01 0 0 0.01 0 0.02 0.01 0 0 0 0 0.01 0 0.01 0
"приятно" 0 0 0 0 0 0 0.01 0.02 0 0 0.01 0 0.01 0 0 0.01 0.01 0
"пробуждать" 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0.02 0 0.01 0 0 0 0 0
"пробыть" 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0
"пролеживать" 0.01 0.02 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"проситься" 0.01 0 0.02 0 0.01 0 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0
"просто" 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0.01 0.01 0.01 0 0 0
"простор" 0 0 0 0 0 0 0 0.01 0 0.01 0.02 0.02 0 0.01 0 0 0 0
"протосковать" 0.02 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"прохлада" 0 0.01 0.01 0 0 0 0 0 0 0.02 0 0.01 0 0.02 0 0 0 0
"пугать" 0 0 0 0.01 0.01 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0
"пукетовый" 0 0 0.01 0 0 0 0.02 0.01 0.03 0 0 0 0 0 0 0 0 0
"пух" 0 0.01 0 0.01 0 0.02 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0
"пушка" 0 0 0 0.01 0.03 0 0 0 0 0 0 0.02 0 0 0.01 0 0 0
"пшено" 0 0 0 0 0.01 0.01 0.02 0 0.01 0 0 0 0 0 0 0.01 0 0.01
"пьяница" 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.02 0.01 0.01
"пятьдесят" 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0.02 0 0
"радовать" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0.02 0 0 0
"разве" 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0.02 0 0 0 0 0.02
"разжигать" 0.02 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"размахнуть" 0 0 0.01 0.01 0.02 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0
"разнемогаться" 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"распарывать" 0.01 0.01 0.02 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0
"расплетаться" 0 0.01 0 0 0.01 0 0.01 0 0.01 0 0 0 0.01 0 0.01 0 0 0.01
"рассвет" 0.02 0 0 0 0 0 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0
"рассевать" 0 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0.02 0.01 0 0 0 0 0
"рассталася" 0.01 0.01 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0.01 0
"репей" 0 0 0 0.02 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0.01 0
"робкий" 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0 0.01 0.01 0 0 0
"родилася" 0.01 0.02 0.01 0 0 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0
"ронить" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0
"рыбица" 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"рядить" 0.01 0.01 0.01 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0
"свадьба" 0.01 0 0.01 0 0 0 0.01 0.01 0 0.01 0 0 0 0.01 0 0 0.01 0
"сверкать" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0.01 0.01 0 0 0
"светик" 0.01 0 0 0 0.02 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0.01
"свидание" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0.02 0 0 0.01
"северный" 0 0 0 0 0 0 0 0.02 0.01 0 0.02 0.01 0 0 0.01 0 0 0
"семьдесят" 0 0 0 0 0 0 0.03 0.02 0.02 0 0 0 0 0 0 0 0 0
"сердечушка" 0.01 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"серп" 0 0 0 0.02 0 0.02 0 0 0 0 0.02 0 0 0 0.01 0 0 0
"сетка" 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0
"сечь" 0 0 0 0.03 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01
"сжигать" 0.01 0.01 0 0 0 0 0 0 0 0 0.03 0.01 0 0.01 0 0 0 0
"сиз" 0 0.01 0.01 0 0 0 0 0.02 0.03 0 0 0 0 0 0 0 0 0
"сизенький" 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0.01
"сковорода" 0 0 0 0 0 0 0.01 0.02 0.04 0 0 0 0 0 0 0 0 0
"сковывать" 0 0 0 0.02 0.01 0.02 0 0 0 0.01 0.01 0 0 0 0 0 0 0
"скоморохов" 0 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0.01 0.01 0.01 0.01 0
"скот" 0 0 0 0 0 0 0.02 0.02 0.02 0 0 0.01 0 0 0 0 0 0
"сладость" 0 0 0 0 0 0 0.01 0 0 0.02 0.01 0 0.02 0.01 0 0 0 0
"слезинка" 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0
"слезонька" 0.03 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"словеса" 0 0 0 0 0 0.01 0.01 0.02 0.01 0 0 0 0 0 0 0 0.01 0.01
"сноп" 0 0 0 0 0.01 0.01 0 0.01 0 0 0.01 0 0.01 0 0 0 0.02 0
"совушка" 0.02 0.03 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"соловушка" 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0.01 0.01 0.01 0 0.01 0
"соловьюшка" 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0
"ставить" 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0.01 0 0.02
"старичище" 0 0 0 0.01 0.02 0 0.01 0 0.02 0 0 0 0 0 0 0.01 0 0
"статься" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0.03 0 0 0
"степан" 0.01 0.02 0.02 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0
"стлаться" 0.01 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0.01 0.01
"столь" 0 0.01 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0.02 0.01 0
"столько" 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0 0 0 0.01
"стошниться" 0 0.04 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"стоючи" 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"стрелять" 0 0 0 0.01 0.01 0.02 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0
"строго" 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0
"строй" 0 0 0 0 0.02 0.01 0 0 0 0.02 0 0.01 0 0 0 0 0.01 0
"стройный" 0 0 0 0 0 0 0.01 0 0.01 0 0.02 0 0.01 0.01 0.01 0 0 0
"сытый" 0.01 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0.02
"творение" 0 0 0 0 0 0 0 0 0 0.01 0 0.05 0 0 0.01 0 0 0
"темненький" 0.01 0.01 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0.01
"тихохонький" 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0
"томиться" 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0.02 0 0 0.01 0 0 0.01
"тонуть" 0 0 0 0 0.01 0 0 0 0 0 0.02 0.03 0 0 0 0 0.01 0
"топнуть" 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0.02 0.02 0
"торговый" 0 0 0.02 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0.01 0 0.01
"точить" 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.02 0.01 0.01 0.01 0
"тратить" 0 0 0 0 0 0 0 0 0 0 0 0.05 0.02 0 0 0 0 0
"троечка" 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"тряпица" 0 0 0 0 0.01 0 0.01 0.01 0.03 0 0.01 0 0 0 0 0 0 0
"тучка" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0.03 0 0 0
"тянуть" 0.02 0.01 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0.01 0 0 0
"убираться" 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0.01 0 0 0.01 0 0.01 0 0
"уверять" 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0
"увы" 0 0 0 0 0 0 0 0 0 0.04 0.01 0.02 0 0 0 0 0 0
"угасать" 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0 0.02 0 0 0 0
"удар" 0 0 0 0 0 0.01 0 0 0 0.03 0 0.02 0 0 0 0 0 0.01
"удел" 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.03 0.01 0 0 0 0
"удерживать" 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0 0.01 0 0 0.01 0.01 0 0
"уединенный" 0 0 0 0 0 0 0 0 0 0 0.02 0.05 0 0 0 0 0 0
"указ" 0 0 0 0.01 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0.01 0
"умиляться" 0 0 0 0.01 0 0.01 0 0.02 0.02 0 0 0 0 0 0.01 0 0 0
"уронить" 0 0 0 0 0 0.01 0 0 0 0 0 0 0.03 0.01 0 0 0.01 0.01
"услуга" 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0.02 0.01 0 0 0.01
"успокаиваться" 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.03 0.02 0 0 0 0
"устремлять" 0 0 0 0 0 0 0 0 0 0.03 0 0.02 0 0 0.02 0 0 0
"утапливать" 0 0.01 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0 0
"утица" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.03
"хмелюшка" 0 0 0 0 0 0.01 0.01 0.02 0.02 0 0 0 0 0 0 0.01 0 0
"хома" 0 0 0 0.01 0.04 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"хоша" 0 0.01 0 0 0 0 0.01 0.02 0.03 0 0 0 0 0 0 0 0 0
"христос" 0.01 0.01 0.01 0 0.01 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0
"чаять" 0.01 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0.01 0 0
"чего" 0 0 0 0.01 0 0 0 0 0 0.01 0 0.02 0 0 0 0.02 0 0.01
"черевичек" 0.01 0.01 0.01 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0
"черноокий" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0.02 0.01 0 0 0
"черта" 0 0 0 0 0 0 0 0.01 0 0.02 0.02 0.02 0 0 0 0 0 0
"четверт" 0.02 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"читать" 0 0 0 0 0.01 0 0 0.01 0 0.02 0.01 0.02 0 0 0 0 0 0
"чулочек" 0 0 0 0 0.01 0.01 0.01 0.01 0.02 0 0 0 0 0 0 0.01 0 0
"шептать" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0.01 0.02 0 0 0
"эй" 0.01 0.02 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0.01 0
"яма" 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02
"ямщик" 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0.01 0.02 0
"яровой" 0 0.01 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"ала" 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0.03 0 0
"армеюшка" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.02
"башмак" 0 0 0 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0.02 0.01 0
"бедность" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0.02 0.01 0 0
"безвестный" 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0.01 0.01 0 0 0
"безвременье" 0.01 0 0 0 0 0 0 0.02 0.02 0 0 0 0.01 0 0 0 0 0
"белеться" 0.02 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0
"белов" 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0.02 0.01 0 0 0
"березник" 0 0 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0.01
"березовый" 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0.01 0 0.01 0.01
"бессовестный" 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0.01 0 0.01 0.02
"благодать" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0.02 0 0 0 0
"блестящий" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.03 0 0 0 0 0 0
"богатырь" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0.01 0
"брага" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0.01 0.02
"бумага" 0 0 0 0 0 0.01 0.01 0.01 0.02 0.01 0 0 0 0 0 0 0 0
"важный" 0 0 0 0 0 0 0.01 0 0.01 0.01 0.03 0 0 0 0 0 0 0
